wgp_loss, disc_real, disc_fake, gp
0.049664, -1.608303, -1.764485, 3.422453
-0.252885, -2.778177, -0.584407, 3.109699
0.265044, -1.009304, -2.585329, 3.859678
0.285197, -3.510622, -0.034458, 3.830277
0.550802, -0.650565, -2.809412, 4.010779
-1.081916, -3.123024, -0.675890, 2.716999
-0.973354, -2.779669, -1.278034, 3.084349
0.081697, -1.537536, -2.435888, 4.055122
-0.981529, -3.172431, -0.727424, 2.918327
-1.378404, -2.764782, -1.518806, 2.905185
-1.135756, -1.841103, -2.493248, 3.198596
-0.764140, -3.414980, -0.971093, 3.621932
-0.202663, -0.763183, -3.050618, 3.611138
-0.441241, -4.224790, -0.000208, 3.783756
-0.228671, -1.039856, -2.663357, 3.474543
-1.352875, -2.457329, -1.505940, 2.610394
-1.793042, -2.944727, -1.502855, 2.654539
-2.272309, -2.631937, -2.147984, 2.507611
-2.574468, -3.244079, -1.901705, 2.571317
-2.566824, -2.283970, -2.505809, 2.222955
-1.235683, -4.261392, -0.744618, 3.770327
-0.773275, -0.395218, -3.723030, 3.344974
-0.087587, -4.293229, 0.348524, 3.857119
-0.350446, -1.066492, -3.018591, 3.734637
-1.759930, -2.929574, -1.297651, 2.467294
-2.343030, -3.029110, -1.724677, 2.410758
-1.403971, -2.753642, -2.368847, 3.718518
-1.822667, -3.556126, -1.274286, 3.007745
-1.184726, -1.175783, -3.249815, 3.240872
-2.563367, -4.019763, -0.477315, 1.933710
-2.305061, -2.872927, -2.328067, 2.895933
-2.026658, -2.148723, -2.982330, 3.104395
-1.948880, -4.107932, -0.618270, 2.777322
-2.818585, -1.964076, -2.843791, 1.989282
-2.918334, -3.630849, -1.744399, 2.456914
-2.735257, -2.471783, -2.637130, 2.373656
-3.300862, -3.013732, -2.260821, 1.973691
-2.601523, -4.352907, -1.511772, 3.263156
-1.678491, -0.303668, -4.515986, 3.141163
-1.060765, -5.877452, 1.472932, 3.343755
-2.603043, -1.442425, -2.911333, 1.750716
-2.276033, -2.069889, -3.274811, 3.068668
-3.031464, -4.998727, -1.051332, 3.018595
-2.735583, -3.613292, -1.898801, 2.776509
-2.835948, -1.966994, -3.062089, 2.193135
-2.817023, -3.076216, -2.121340, 2.380533
-3.705289, -3.316305, -2.380786, 1.991802
-3.891298, -4.177822, -2.298765, 2.585289
-2.953562, -3.239564, -2.459504, 2.745506
-2.898092, -2.634501, -1.919081, 1.655490
-3.376300, -3.692616, -2.056676, 2.372993
-3.260807, -2.254483, -3.562069, 2.555746
-3.222400, -5.689913, -0.094906, 2.562419
-1.742240, -0.721739, -4.273354, 3.252853
-3.340461, -5.084005, -0.389983, 2.133527
-2.907750, -3.626792, -1.867185, 2.586227
-2.060584, -2.046762, -3.352509, 3.338687
-3.338233, -3.897829, -1.513143, 2.072739
-3.640706, -3.655587, -1.952260, 1.967142
-3.231180, -3.218466, -2.862348, 2.849635
-3.398027, -3.577904, -2.320241, 2.500118
-3.332235, -4.300523, -1.647216, 2.615504
-3.486119, -1.904660, -3.408987, 1.827528
-2.904963, -5.612107, -0.409719, 3.116863
-2.873430, -1.487770, -3.734415, 2.348755
-3.961060, -3.777524, -1.564930, 1.381394
-4.173931, -4.245986, -2.003969, 2.076023
-3.909873, -2.646697, -3.486109, 2.222933
-4.554245, -4.689496, -1.110059, 1.245310
-4.187466, -4.250812, -2.334055, 2.397401
-4.125794, -3.225193, -3.027420, 2.126819
-4.530516, -4.507605, -1.388083, 1.365172
-4.758959, -4.333750, -2.433532, 2.008323
-4.947487, -2.777127, -3.526082, 1.355722
-3.940304, -6.849188, -0.485199, 3.394083
-1.748289, 0.776340, -5.505477, 2.980849
-2.748727, -5.069410, 0.594858, 1.725825
-3.469016, -5.173984, 0.063642, 1.641326
-4.353397, -3.868930, -2.265352, 1.780885
-4.583231, -3.848471, -2.875341, 2.140580
-4.786807, -4.756266, -2.183865, 2.153324
-4.572379, -3.512315, -2.552245, 1.492181
-4.494659, -3.575092, -2.400190, 1.480622
-3.866021, -4.499760, -2.098619, 2.732357
-3.896883, -2.707179, -2.766550, 1.576846
-4.769870, -4.974954, -1.502965, 1.708049
-3.832607, -4.175345, -2.086884, 2.429623
-3.959710, -2.030061, -3.579081, 1.649432
-4.169240, -5.046042, -0.990457, 1.867259
-3.759560, -2.208364, -3.334598, 1.783401
-4.565338, -5.407061, -1.041741, 1.883465
-4.504291, -4.031825, -2.079978, 1.607512
-4.318604, -4.384011, -2.206501, 2.271909
-4.335446, -3.081216, -2.500978, 1.246749
-4.720706, -4.683679, -1.676708, 1.639681
-4.521626, -2.899159, -3.360199, 1.737732
-3.768847, -6.490932, -0.074979, 2.797064
-2.201303, 0.633895, -4.496317, 1.661119
-3.784990, -4.617431, -0.561427, 1.393868
-4.099049, -5.844055, -0.465807, 2.210814
-3.960575, -2.873989, -2.818312, 1.731726
-3.893840, -2.911188, -2.877611, 1.894959
-4.763514, -5.267669, -1.034922, 1.539078
-4.778895, -4.537171, -1.967948, 1.726223
-4.792090, -4.184096, -2.071417, 1.463423
-4.742507, -4.285182, -2.188788, 1.731464
-4.075816, -3.682154, -2.363213, 1.969551
-4.440333, -3.304505, -2.079095, 0.943266
-5.215158, -5.949784, -1.405646, 2.140273
-5.024512, -4.298407, -2.109482, 1.383377
-4.778658, -5.193844, -1.795140, 2.210325
-4.277911, -3.478299, -1.977561, 1.177949
-4.209500, -4.651465, -1.603751, 2.045716
-4.444760, -3.496020, -2.461497, 1.512757
-4.535807, -5.595596, -0.895292, 1.955082
-4.345230, -2.459835, -2.936578, 1.051183
-3.322031, -7.711574, 0.411743, 3.977799
-0.936301, 1.145367, -5.340189, 3.258520
-3.272560, -3.748455, -0.068150, 0.544045
-3.871160, -6.397278, 1.162124, 1.363995
-4.285707, -5.545712, -0.269343, 1.529347
-4.358425, -3.599921, -2.333596, 1.575092
-4.397832, -3.149109, -2.873672, 1.624949
-4.858349, -4.214938, -2.441705, 1.798294
-4.323632, -4.652890, -1.422472, 1.751730
-4.276554, -4.686020, -1.143264, 1.552731
-4.079252, -3.531750, -2.001250, 1.453748
-4.758947, -4.175137, -1.709989, 1.126179
-4.693529, -5.269842, -1.525798, 2.102111
-4.627853, -2.759516, -2.849314, 0.980977
-4.874533, -5.165456, -1.261705, 1.552628
-4.534511, -4.588189, -1.743826, 1.797504
-3.672838, -2.804804, -2.665174, 1.797140
-4.583187, -4.145870, -1.240118, 0.802801
-4.317969, -6.406325, -0.471561, 2.559917
-2.908367, -1.311345, -3.724585, 2.127563
-3.775743, -6.177680, 0.857238, 1.544698
-4.111695, -3.998109, -1.222749, 1.109163
-4.243190, -3.317774, -2.454998, 1.529581
-4.200186, -5.201948, -1.088603, 2.090366
-4.201091, -3.751713, -1.583071, 1.133693
-4.275280, -4.146757, -1.589164, 1.460641
-4.416423, -4.187057, -1.564475, 1.335109
-4.719406, -5.567489, -1.255134, 2.103218
-3.793133, -3.039964, -2.210312, 1.457144
-4.795596, -5.022940, -1.040406, 1.267749
-4.093152, -5.488486, -0.825471, 2.220805
-3.208443, -1.457801, -3.747290, 1.996648
-3.802059, -7.458163, 1.342937, 2.313167
-3.543228, -2.276843, -2.248256, 0.981871
-4.224679, -3.443131, -1.962135, 1.180587
-4.247589, -5.972691, -0.668129, 2.393230
-3.893252, -3.136260, -2.243869, 1.486877
-4.209126, -3.817634, -1.342545, 0.951052
-4.808126, -5.148443, -0.871389, 1.211705
-4.630273, -4.867046, -1.572339, 1.809112
-4.521444, -4.763507, -1.429564, 1.671627
-4.433775, -4.108505, -1.530683, 1.205414
-4.260225, -4.862449, -0.782633, 1.384857
-4.097685, -3.782958, -1.957605, 1.642877
-4.634988, -5.902741, -0.338432, 1.606186
-4.246222, -3.463278, -1.829839, 1.046895
-4.972318, -5.395083, -1.118548, 1.541314
-4.300344, -4.960858, -1.195160, 1.855674
-4.092031, -3.746356, -1.761361, 1.415686
-4.123971, -6.533930, 0.435638, 1.974321
-2.901277, -0.869300, -3.675514, 1.643537
-3.383330, -6.731224, 1.256387, 2.091507
-3.611784, -3.045336, -1.474257, 0.907810
-4.134544, -3.733757, -1.381955, 0.981167
-4.246271, -6.065189, -0.448215, 2.267133
-4.659383, -4.239189, -1.603246, 1.183052
-5.089218, -5.261605, -0.921115, 1.093501
-5.068416, -6.660496, -0.322373, 1.914453
-4.769962, -3.821647, -1.928828, 0.980514
-4.667630, -6.661395, 0.147167, 1.846598
-4.119878, -3.177888, -2.147447, 1.205457
-4.421575, -6.090061, -0.086393, 1.754879
-4.631298, -4.868055, -0.962721, 1.199479
-4.428202, -4.394436, -1.155846, 1.122080
-4.967231, -5.106718, -1.092080, 1.231567
-4.520298, -5.902807, -0.290217, 1.672726
-4.516594, -2.981510, -2.338833, 0.803749
-4.435994, -7.007040, 0.452186, 2.118860
-3.292963, -1.647473, -2.837311, 1.191821
-4.709092, -5.611905, 0.032119, 0.870694
-4.440410, -6.881008, 0.346800, 2.093799
-3.865341, -2.185283, -2.368087, 0.688029
-4.495890, -4.380305, -1.117844, 1.002259
-4.605065, -6.473691, 0.169054, 1.699572
-4.442586, -3.905172, -1.436796, 0.899382
-4.918034, -5.064040, -0.915911, 1.061918
-4.464445, -5.826749, -0.114293, 1.476597
-4.429426, -3.706467, -1.751809, 1.028850
-4.506755, -4.757919, -0.811634, 1.062799
-4.562505, -6.188753, 0.072094, 1.554154
-4.265392, -3.272791, -2.028761, 1.036160
-4.830656, -6.064436, 0.140800, 1.092980
-4.441977, -5.719913, -0.303478, 1.581414
-4.194845, -3.539680, -1.939810, 1.284645
-4.681029, -6.035034, 0.159230, 1.194775
-4.420247, -4.081729, -1.129102, 0.790585
-4.877110, -5.530456, -0.679688, 1.333034
-4.887653, -6.082835, -0.396170, 1.591351
-4.713700, -4.158314, -1.212689, 0.657303
-4.868166, -7.766065, 0.454488, 2.443410
-3.568796, -1.516320, -3.037971, 0.985494
-4.514710, -7.310651, 1.235262, 1.560678
-4.322883, -4.561525, -0.294454, 0.533097
-4.816398, -4.769360, -1.063639, 1.016601
-4.829913, -6.502105, -0.324686, 1.996879
-4.816396, -4.023702, -1.335735, 0.543041
-5.330544, -6.634624, 0.166931, 1.137150
-5.032588, -5.639754, -0.677712, 1.284877
-5.218482, -5.337236, -0.790837, 0.909591
-5.090754, -7.161177, 0.462068, 1.608355
-4.455186, -3.265119, -1.866548, 0.676480
-4.995279, -7.219956, 0.648870, 1.575808
-4.579595, -4.175629, -1.298184, 0.894218
-5.335466, -5.178161, -0.682962, 0.525656
-3.958818, -8.965840, 1.452595, 3.554428
-2.153172, -0.041294, -3.755151, 1.643274
-4.041889, -3.766051, -0.519841, 0.244004
-4.647890, -7.101622, 1.309619, 1.144112
-4.410439, -7.022537, 1.012592, 1.599506
-4.792687, -4.477927, -0.940420, 0.625659
-5.058086, -4.581255, -1.186804, 0.709973
-5.184240, -6.667586, -0.083293, 1.566639
-5.243388, -6.073199, -0.355201, 1.185013
-4.752527, -4.315678, -0.846069, 0.409219
-5.090367, -6.007067, -0.300999, 1.217699
-5.414934, -6.078032, -0.446169, 1.109267
-5.353953, -5.993773, -0.448631, 1.088450
-5.152667, -5.630237, -0.423358, 0.900928
-4.880569, -5.026639, -0.691509, 0.837579
-4.912929, -6.290392, 0.074702, 1.302761
-4.607641, -3.334422, -1.893711, 0.620493
-5.084887, -7.710694, 1.001312, 1.624496
-4.659426, -3.599874, -1.833916, 0.774363
-4.850589, -5.343584, -0.280113, 0.773108
-5.138711, -6.801769, 0.060586, 1.602473
-4.389483, -2.485885, -2.493161, 0.589562
-4.888749, -6.287878, 0.308404, 1.090726
-4.987854, -4.982841, -0.701814, 0.696802
-4.871004, -5.453757, -0.728411, 1.311164
